full_text,tweet_processed,sentimen_label,sentimen
hehe yang penting ya gratis . Itu yang enak RT @andrexdevi: Yg penting mkanannya enak bergizi dan حَلاَلً :p RT @ranii_adja: makan'' cari y,hehe penting gratis enak penting mkanannya enak gizi p makan cari y,1,positif
@mekaamozi dirumah juga makmur keleeeeees makan bergizi makan gratis la dijogja -.-,rumah makmur keleeeeees makan gizi makan gratis la dijogja,1,positif
Perusahaan2 teknologi ini banyak yah komplimen bwt karyawannya - segala makan siang aja gratis - enak2 dan bergizi lagi makanannya :XD,usaha teknologi banyak yah komplimen bwt karyawannya segala makan siang gratis enak gizi makan xd,1,positif
hari ini hari jum'at solat jum'at di Masjid UI hari ini aku sehat karena makan makanan bergizi (makan gratis... http://t.co/XaeWi2sdJ1,hari hari jum at solat jum at masjid ui hari aku sehat makan makan gizi makan gratis,0,netral
Hahaaha dasar @kopiwarnapink: temenan ama koki koki handal makan makanan enak &amp; bergizi terusss.. dan gratis tentunya. #tips ,hahaaha dasar temenan ama koki koki handal makan makan enak gizi terus gratis tentu,1,positif
temenan ama koki koki handal makan makanan enak &amp; bergizi terusss.. dan gratis tentunya. #tips,temenan ama koki koki handal makan makan enak gizi terus gratis tentu,1,positif
tiap hari ngawas ujian osca siang makan gratis enak bergizi.. Pulang ke kostn ketemu nya mie lagi... Nasib.. Hahaha.,tiap hari ngawas uji osca siang makan gratis enak gizi pulang kostn ketemu mie nasib hahaha,1,positif
makan murah nan bergizi... Bingung??? Dateng aja ke @AngkringCiseke bahkan dapat wedang jahe 'GRATIS' dijamin ketagihan..,makan murah nan gizi bingung dateng bahkan wedang jahe gratis jamin tagih,1,positif
Okee saatnya makan yang bergizi tinggi dulu dan gratis lagi.. #Forzapssi,okee saat makan gizi tinggi dulu gratis,0,netral
@ellizaandputri @onedot46 makanya mon makan tuh yg bergizi kalau perlu pigilah sekali2 ke kondangan perbaikan gizi. gratis lagi :p,makanya mon makan gizi kalau perlu pigilah sekali kondangan baik gizi gratis p,0,netral
Soulmatemu gimana kabarnya? @thiassayuee: Highklass :p RT @April_Purnama: Gratis dan bergizi @thiassayuee: Haha enak makan gratiss,soulmatemu gimana kabar highklass p gratis gizi haha enak makan gratiss,1,positif
